MinuteToComplete,Year,Nachklausur,Course,Grade,AttemptNumber,Bachelor/Master,Study
51,2020,Yes,Vis,1.7,2,Bachelor,(Wirtschafts-)Mathematik
39,2019,No,Vis,3.7,1,Bachelor,WirtschaftsInformatik
58,2019,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
15,2019,No,Vis,5,1,Master,(Wirtschafts-)Mathematik
61,2019,No,Vis,1,1,Bachelor,WirtschaftsInformatik
56,2019,No,Vis,2.3,1,Master,WirtschaftsInformatik
54,2019,No,Vis,1.3,1,Bachelor,WirtschaftsInformatik
55,2019,No,Vis,2.7,1,Bachelor,(Wirtschafts-)Mathematik
81,2019,No,Vis,1.3,1,Master,WirtschaftsInformatik
79,2019,No,Vis,1,1,Bachelor,WirtschaftsInformatik
80,2019,No,Vis,3.3,1,Bachelor,WirtschaftsInformatik
73,2019,No,Vis,2.7,1,Master,WirtschaftsInformatik
77,2019,No,Vis,2.3,1,Bachelor,WirtschaftsInformatik
59,2019,No,Vis,2.3,1,Master,WirtschaftsInformatik
74,2019,No,Vis,1.3,1,Master,(Wirtschafts-)Mathematik
24,2019,No,Vis,4,1,Bachelor,(Wirtschafts-)Mathematik
63,2019,No,Vis,3,2,Bachelor,WirtschaftsInformatik
68,2019,No,Vis,2,1,Master,WirtschaftsInformatik
72,2019,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
69,2019,No,Vis,2.7,2,Bachelor,(Wirtschafts-)Mathematik
62,2019,No,Vis,2.7,1,Master,WirtschaftsInformatik
88,2019,No,Vis,3,1,Bachelor,WirtschaftsInformatik
59,2019,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
60,2019,No,Vis,1,3,Bachelor,WirtschaftsInformatik
86,2019,No,Vis,1.7,1,Bachelor,(Wirtschafts-)Mathematik
50,2019,No,Vis,1.7,1,Master,WirtschaftsInformatik
64,2019,No,Vis,3.3,1,Bachelor,(Wirtschafts-)Mathematik
58,2019,No,Vis,2,1,Master,WirtschaftsInformatik
